 sku,image_urls
52636-SS-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/52636-SS-PK-B1.png
52637-15-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/52637-15-PK-B1.png
52637-20-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/52637-20-PK-B1.png
52637-CZ15-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/52637-CZ15-PK-B1.png
52637-CZ20-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/52637-CZ20-PK-B1.png
52637-PN15-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/52637-PN15-PK-B1.png
52637-PN20-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/52637-PN20-PK-B1.png
52637-RB15-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/52637-RB15-PK-B1.png
52637-RB20-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/52637-RB20-PK-B1.png
52637-SS15-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/52637-SS15-PK-B1.png
52637-SS20-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/52637-SS20-PK-B1.png
52638-15-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/52638-15-PK-B1.png
52638-20-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/52638-20-PK-B1.png
52638-CZ15-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/52638-CZ15-PK-B1.png
52638-CZ20-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/52638-CZ20-PK-B1.png
52638-PN15-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/52638-PN15-PK-B1.png
52638-PN20-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/52638-PN20-PK-B1.png
52638-RB15-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/52638-RB15-PK-B1.png
52638-RB20-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/52638-RB20-PK-B1.png
52638-SS15-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/52638-SS15-PK-B1.png
52638-SS20-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/52638-SS20-PK-B1.png
52646-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/52646-PK-B1.png
52646-RB-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/52646-RB-PK-B1.png
52646-SS-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/52646-SS-PK-B1.png
